lv,bugs,diff,hour
1,12,7.0,7
2,60,11.0,18
3,66,11.0,29
4,270,13.0,42
5,124,7.0,49
6,85,6.0,55
7,80,28.0,83
8,104,8.0,91
9,160,8.0,99
10,30,4.0,103
11,203,19.0,122
12,49,4.0,126
13,86,14.0,140
14,97,30.0,170
15,45,6.0,176
16,44,38.0,214
17,128,9.0,223
18,229,15.0,238
19,119,18.0,256
20,99,13.0,269
21,47,17.0,286
22,206,16.0,302
23,56,6.0,308
24,32,15.0,323
25,68,10.0,333
26,134,17.0,350
27,41,16.0,366
28,271,21.0,387
29,19,16.0,403
30,32,10.0,413
31,134,14.0,427
32,66,11.0,438
33,35,15.0,453
34,93,22.0,475
35,5,14.0,489
36,72,37.0,526
37,29,25.0,551
38,80,25.0,576
39,138,54.0,630
40,278,76.0,706
41,195,18.0,724
42,146,14.0,738
43,182,37.0,775
44,180,40.0,815
45,138,32.0,847
46,184,22.0,869
47,153,29.0,898
48,100,6.0,904
49,300,41.0,945
50,539,42.0,987
51,100,22.0,1009
52,552,61.0,1070
