lv,bugs,diff,hour
1,89,11.0,11
2,84,8.0,19
3,43,8.0,27
4,62,5.0,32
5,188,24.0,56
6,38,3.0,59
7,24,10.0,69
8,108,11.0,80
9,65,6.0,86
10,33,11.0,97
11,86,19.0,116
12,218,18.0,134
13,53,5.0,139
14,121,5.0,144
15,63,9.0,153
16,43,7.0,160
17,55,3.0,163
18,13,5.0,168
19,60,12.0,180
20,171,9.0,189
21,57,7.0,196
22,2,3.0,199
23,20,4.0,203
24,29,7.0,210
25,81,25.0,235
26,172,6.0,241
27,22,4.0,245
28,23,7.0,252
29,34,7.0,259
30,27,7.0,266
31,37,3.0,269
32,9,3.0,272
33,2,4.0,276
34,86,7.0,283
35,47,3.0,286
36,41,11.0,297
37,49,6.0,303
38,73,8.0,311
39,70,8.0,319
40,30,7.0,326
41,19,5.0,331
42,27,9.0,340
43,35,5.0,345
44,63,7.0,352
45,27,3.0,355
46,51,8.0,363
47,6,5.0,368
48,45,14.0,382
49,33,6.0,388
50,27,7.0,395
51,28,7.0,402
52,13,6.0,408
53,12,10.0,418
54,25,9.0,427
55,60,7.0,434
56,40,6.0,440
57,26,8.0,448
58,18,3.0,451
59,34,5.0,456
60,14,9.0,465
61,15,10.0,475
62,24,6.0,481
63,41,13.0,494
64,23,4.0,498
65,16,4.0,502
66,47,9.0,511
67,12,8.0,519
68,33,13.0,532
69,27,9.0,541
70,12,7.0,548
71,40,9.0,557
72,61,5.0,562
73,33,4.0,566
74,27,4.0,570
75,33,8.0,578
76,43,19.0,597
77,28,8.0,605
78,10,13.0,618
79,37,8.0,626
80,31,7.0,633
81,25,7.0,640
82,26,2.0,642
83,98,18.0,660
84,36,12.0,672
85,14,7.0,679
86,7,3.0,682
87,135,11.0,693
88,28,13.0,706
89,44,9.0,715
90,23,7.0,722
91,10,5.0,727
92,221,21.0,748
93,79,3.0,751
94,9,5.0,756
95,27,10.0,766
96,44,5.0,771
97,20,6.0,777
98,47,2.0,779
99,17,9.0,788
100,24,10.0,798
101,11,3.0,801
102,20,7.0,808
103,24,7.0,815
104,46,42.0,857
105,92,67.0,924
106,182,63.0,987
107,177,71.0,1058
108,174,66.0,1124
109,146,91.0,1215
110,67,34.0,1249
111,107,151.0,1400
112,93,37.0,1437
113,132,182.0,1619
