lv,bugs,diff,hour
1,84,25.0,25
2,117,3.0,28
3,210,3.0,31
4,60,3.0,34
5,120,5.0,39
6,131,6.0,45
7,67,6.0,51
8,52,3.0,54
9,67,5.0,59
10,61,6.0,65
11,35,3.0,68
12,23,5.0,73
13,32,3.0,76
14,154,14.0,90
15,64,3.0,93
16,45,3.0,96
17,94,4.0,100
18,25,4.0,104
19,88,4.0,108
20,17,1.0,109
21,73,8.0,117
22,132,4.0,121
23,32,6.0,127
24,70,3.0,130
25,22,6.0,136
26,55,6.0,142
27,10,5.0,147
28,102,6.0,153
29,80,6.0,159
30,163,5.0,164
31,94,13.0,177
32,119,7.0,184
33,109,3.0,187
34,63,7.0,194
35,45,5.0,199
36,172,6.0,205
37,42,7.0,212
38,26,3.0,215
39,73,6.0,221
40,126,7.0,228
41,106,10.0,238
42,95,4.0,242
43,18,2.0,244
44,42,4.0,248
45,28,8.0,256
46,85,5.0,261
47,13,3.0,264
48,19,5.0,269
49,33,3.0,272
50,16,4.0,276
51,81,6.0,282
52,74,7.0,289
53,65,8.0,297
54,101,3.0,300
55,106,4.0,304
56,2,1.0,305
57,40,5.0,310
58,52,3.0,313
59,52,6.0,319
60,24,6.0,325
61,68,6.0,331
62,87,7.0,338
63,40,3.0,341
64,73,3.0,344
65,27,3.0,347
66,139,6.0,353
67,39,5.0,358
68,109,5.0,363
69,144,4.0,367
70,28,2.0,369
71,177,4.0,373
72,109,5.0,378
73,23,4.0,382
74,77,5.0,387
75,41,2.0,389
76,22,5.0,394
77,99,7.0,401
78,49,6.0,407
79,68,8.0,415
80,87,3.0,418
81,92,10.0,428
82,88,4.0,432
83,76,5.0,437
84,146,3.0,440
85,40,3.0,443
86,57,3.0,446
87,66,8.0,454
88,87,7.0,461
89,238,4.0,465
90,177,2.0,467
91,68,4.0,471
92,29,3.0,474
93,103,8.0,482
94,312,5.0,487
95,69,7.0,494
96,95,4.0,498
97,75,5.0,503
98,62,3.0,506
99,33,7.0,513
100,37,7.0,520
101,36,3.0,523
102,88,3.0,526
103,97,3.0,529
104,327,5.0,534
105,2,1.0,535
106,31,5.0,540
107,62,1.0,541
108,32,7.0,548
109,31,3.0,551
110,40,10.0,561
111,102,7.0,568
112,53,8.0,576
113,32,6.0,582
114,65,5.0,587
115,29,3.0,590
116,34,3.0,593
117,144,6.0,599
118,31,3.0,602
119,18,3.0,605
120,114,6.0,611
121,16,2.0,613
122,2,1.0,614
123,26,4.0,618
124,131,2.0,620
125,108,12.0,632
126,65,4.0,636
127,79,6.0,642
128,71,5.0,647
129,108,6.0,653
130,45,3.0,656
131,97,5.0,661
132,60,6.0,667
133,33,3.0,670
134,70,5.0,675
135,35,2.0,677
136,172,21.0,698
137,141,3.0,701
138,83,8.0,709
139,59,2.0,711
140,3,0.0,711
141,46,4.0,715
142,91,4.0,719
143,51,4.0,723
144,103,3.0,726
145,52,5.0,731
146,51,4.0,735
147,62,4.0,739
148,23,8.0,747
149,67,11.0,758
150,65,4.0,762
151,17,4.0,766
152,55,6.0,772
153,40,3.0,775
154,43,5.0,780
155,31,6.0,786
156,134,6.0,792
157,25,3.0,795
158,2,0.0,795
159,61,5.0,800
160,20,3.0,803
161,64,4.0,807
162,33,6.0,813
163,95,9.0,822
164,32,5.0,827
165,119,4.0,831
166,31,4.0,835
167,57,7.0,842
168,91,3.0,845
169,78,11.0,856
170,51,3.0,859
171,47,7.0,866
172,44,5.0,871
173,33,2.0,873
174,61,4.0,877
175,28,2.0,879
176,77,4.0,883
177,52,2.0,885
178,45,5.0,890
179,55,4.0,894
180,129,6.0,900
181,86,11.0,911
182,6,6.0,917
183,118,5.0,922
184,2,5.0,927
185,103,13.0,940
186,55,11.0,951
187,224,14.0,965
188,43,2.0,967
189,33,5.0,972
190,104,14.0,986
191,84,12.0,998
192,27,4.0,1002
193,14,6.0,1008
194,76,5.0,1013
195,130,14.0,1027
196,48,2.0,1029
197,93,11.0,1040
198,48,11.0,1051
199,64,8.0,1059
200,35,4.0,1063
201,93,2.0,1065
202,32,4.0,1069
203,223,9.0,1078
204,152,3.0,1081
205,2,1.0,1082
206,126,6.0,1088
207,200,16.0,1104
208,171,14.0,1118
209,90,8.0,1126
210,33,2.0,1128
211,98,9.0,1137
212,272,6.0,1143
213,68,7.0,1150
214,114,10.0,1160
215,162,13.0,1173
216,88,12.0,1185
